year,N,mean,median
1988,30,39.98806667,58.293
1989,30,58.86026667,36.576
1990,30,36.0934,36.957
1991,30,36.957,27.178
1992,30,29.65026667,51.181
1993,30,50.9778,30.226
1994,30,32.42733333,59.309
1995,30,58.20833333,50.927
1996,30,52.6034,75.184
1997,30,72.42386667,43.434
1998,30,45.27126667,62.484
1999,30,70.16326667,49.784
2000,30,51.6636,26.67
2001,30,25.146,47.244
2002,30,49.3776,50.292
2003,30,47.752,41.275
2004,30,42.5196,31.242
2005,30,30.64086667,58.674
2006,30,63.6778,32.766
2007,30,34.2138,56.769
2008,30,58.56393333,48.387
2009,30,51.39266667,37.465
2010,30,36.9316,52.832
2011,30,58.53853333,53.848
2012,30,52.36633333,35.941
2013,30,37.8714,48.514
2014,30,50.8508,26.543
2015,30,25.8826,49.276
2016,30,52.99286667,55.118
2017,30,59.57146667,39.497
2018,30,44.66166667,51.435
2019,30,55.55826667,44.831
2020,30,48.2854,41.91
2021,30,45.83006667,33.147
2022,30,34.05293333,16.8
